term	synonyms	meaning
그리드 시스템	Grid System	"디자인 요소들을 정렬하고 배치하기 위한 격자 형태의 구조입니다. 쉽게 말해, 디자인을 할 때 안 보이는 선들을 이용하여 디자인 요소들을 가지런히 정리하는 것이라고 생각하면 됩니다. 그리드 시스템을 사용하면 일관성, 효율성, 가독성이 좋아집니다. 디자인 요소들이 일정한 규칙에 따라 배치되므로 디자인 전체에 통일감을 줍니다. 디자인 요소들의 위치를 쉽게 파악하고 수정할 수 있어 작업 시간을 단축할 수 있습니다. 콘텐츠를 논리적으로 배치하여 사용자가 정보를 쉽게 이해할 수 있도록 돕습니다."
네비게이션	Navigation	"웹사이트나 앱에서 사용자가 원하는 정보나 기능을 찾아 이동할 수 있도록 돕는 시스템입니다. 웹사이트나 앱의 구조를 보여주고, 사용자가 현재 위치를 파악하며 다른 페이지나 화면으로 이동할 수 있도록 돕는 역할을 합니다."
다이얼	Dial,Knob	"사용자가 값을 조절하거나 선택할 수 있도록 둥근 형태로 디자인된 UI 요소입니다. 슬라이더와 비슷한 기능을 하지만, 둥근 형태로 회전하며 값을 조절하는 것이 특징입니다."
데이트 피커	Date Picker	"앱이나 웹사이트에서 사용자가 여러 옵션 중 하나를 선택할 수 있도록 제공되는 드롭다운 메뉴 형태의 UI 요소입니다. 제한된 공간에서 여러 옵션을 표시하고 선택할 수 있게 해주는 것이 특징입니다."
드롭다운 메뉴	Drop-down List	"웹사이트나 앱에서 클릭하거나 마우스를 올려놓으면 여러 개의 하위 메뉴가 나타나는 메뉴 형식입니다. 공간을 효율적으로 사용하고, 관련된 메뉴 항목들을 그룹으로 묶어 보여주는 데 유용합니다."
디자인 시스템	Design System	"웹사이트나 앱 디자인에 사용되는 컬러, 폰트, 레이아웃, UI 요소 등 디자인 요소들을 표준화하고 재사용 가능하도록 만든 시스템입니다. 쉽게 말해, 디자인 팀이 사용하는 "디자인 레고 블록"과 같습니다. 각 블록은 버튼, 입력 필드, 아이콘 등 특정 UI 요소를 나타내고, 이 블록들을 조합하여 웹사이트나 앱을 디자인합니다."
디폴트	Default	"컴포넌트의 기본 상태값. 유저가 아무 행동도 하지 않은 첫 화면에서 보여지는 상태를 의미합니다."
딥링크	Deep Link	"웹 페이지 링크처럼 앱의 특정 화면이나 콘텐츠로 바로 연결되는 링크입니다. 일반적인 링크는 웹 브라우저를 열고 웹 페이지를 표시하지만, 딥링크는 앱을 실행하고 특정 화면으로 바로 이동시킵니다."
라디오 버튼	Radio Button	"여러 개의 선택지 중에서 단 하나만 선택할 수 있도록 하는 UI 요소입니다. 동그란 버튼 모양으로 되어 있으며, 선택하면 버튼 안에 점이 표시되고, 다른 버튼을 선택하면 이전에 선택된 버튼의 점은 사라집니다."
랜딩 페이지	Landing Page	"사용자가 광고, 검색 결과, 이메일 등 외부 링크를 클릭하여 웹사이트에 처음 방문하게 되는 특정 페이지입니다. 랜딩 페이지는 사용자의 관심을 끌고 특정 행동(구매, 회원가입, 문의 등)을 유도하도록 설계됩니다."
로딩 스피너	Loading Spinner	"화면 중앙에 무한으로 돌아가는 컴포넌트. 콘텐츠가 로딩되는 동안 사용자에게 진행 상황을 알리기 위한 UI 요소입니다."
리본 메뉴	Ribbon Menu	"드롭다운 메뉴를 보완하기 위해 만들어진 메뉴. 툴바에 탭을 접목시킨 형태로 탭을 번갈아 가며 다양한 메뉴를 확인할 수 있습니다."
마이크로카피	Microcopy	"웹사이트나 앱에서 사용되는 짧은 문구나 단어를 의미합니다. 버튼 레이블, 에러 메시지, 안내 문구, 툴팁 등 사용자 인터페이스(UI) 곳곳에 등장하며, 사용자에게 정보를 제공하고 행동을 유도하는 역할을 합니다."
마진	Margin	"디자인 요소 주변의 여백을 의미합니다. 즉, 디자인 요소와 다른 요소 사이의 간격 또는 디자인 요소와 화면 가장자리 사이의 간격을 말합니다."
멘탈모델	Mental Model	"사용자가 세상이나 특정 제품, 서비스에 대해 가지고 있는 생각, 이해, 믿음 등을 의미합니다. 사용자는 자신의 경험, 지식, 문화 등을 바탕으로 멘탈 모델을 형성하며, 이는 사용자의 행동, 판단, 의사 결정에 영향을 미칩니다."
모달	Modal	"웹사이트나 앱 화면 위에 겹쳐서 나타나는 창입니다. 사용자의 주의를 집중시키고 특정 작업을 완료하도록 유도하기 위해 사용됩니다. 모달 창이 나타나면 배경 화면은 흐려지거나 어두워지고, 사용자는 모달 창을 닫거나 완료하기 전까지 다른 작업을 할 수 없습니다."
목업	Mockup	"디자인의 시각적인 모습을 실제 제품처럼 보이도록 만든 정적인 모델입니다. 웹사이트, 앱, 제품 등의 디자인을 실제 크기나 축소된 크기로 제작하여 디자인의 레이아웃, 색상, 이미지, 폰트 등을 확인하고 검토하는 데 사용됩니다."
반응형 디자인	Responsive Design	"다양한 화면 크기와 해상도를 가진 기기(PC, 스마트폰, 태블릿 등)에서 웹사이트나 앱이 최적화된 형태로 보이도록 디자인하는 방법입니다. 즉, 하나의 디자인을 만들어도 어떤 기기에서든 사용자가 콘텐츠를 편리하게 이용할 수 있도록 하는 디자인 방식입니다."
브레드크럼	Breadcrumb	"웹사이트나 앱에서 사용자가 현재 페이지의 위치를 파악하고 상위 페이지로 쉽게 이동할 수 있도록 돕는 탐색 기능입니다. 동화 '헨젤과 그레텔'에서 헨젤과 그레텔이 숲 속에서 길을 잃지 않기 위해 빵 부스러기를 떨어뜨려 표시한 것처럼, 브레드크럼은 사용자가 웹사이트나 앱 내에서 자신의 위치를 파악하고 이전 페이지로 쉽게 돌아갈 수 있도록 돕는 역할을 합니다."
사이트맵	Sitemap	"웹사이트나 앱을 구성하는 모든 페이지의 목록과 계층 구조를 보여주는 지도입니다. 웹사이트의 콘텐츠를 체계적으로 정리하고, 사용자와 검색 엔진이 웹사이트의 구조를 쉽게 파악할 수 있도록 돕는 역할을 합니다."
숫자 컨트롤러 스피너	Spinner	"우측에 up, down 버튼으로 숫자를 조절하거나 편집 필트에서 직접 숫자를 입력해서 값을 변경할 수 있는 컴포넌트입니다."
