term	synonyms	meaning
데모데이	Demoday	"스타트업이 투자자들 앞에서 자신의 서비스나 제품을 발표하고 투자 유치를 목표로 하는 행사입니다. 마치 쇼케이스나 경연 대회처럼 생각하면 쉽습니다. 스타트업에게는 힘들게 개발한 서비스를 뽐내고 투자를 받을 수 있는 기회이며, 투자자에게는 유망한 스타트업을 발굴하고 투자할 수 있는 기회의 장입니다."
디루션	Dilution	"스타트업 용어에서 '디루션(Dilution)'은 기존 주주들의 지분율이 낮아지는 현상을 의미합니다. 희석이라고도 합니다. 스타트업이 성장하면서 추가 투자를 유치하거나 신주를 발행할 때 발생합니다."
디벨롭	Develop	"아이디어를 구체화하여 실제 제품이나 서비스로 만들어내는 과정입니다. 시장 조사, 기획, 디자인, 개발, 테스트 등 다양한 단계를 거치며 제품/서비스의 완성도를 높여갑니다."
리드 타임	Lead Time	"리드 타임은 어떤 일을 시작해서 완료하기까지 걸리는 시간을 의미합니다. 쉽게 말해 소요 시간이라고 할 수 있죠. 스타트업에서는 주로 제품 개발이나 서비스 출시와 관련된 리드 타임을 중요하게 생각합니다."
레버리지	Leverage	"레버리지는 지렛대 효과를 의미합니다. 작은 힘으로 큰 결과를 얻는 것을 비유적으로 표현하는 말입니다. 스타트업에서는 자본 레버리지와 운영 레버리지, 두 가지 측면에서 레버리지를 활용합니다. 자본 레버리지는 타인 자본(대출금, 투자금 등)을 이용하여 자기 자본 수익률을 높이는 전략입니다. 적은 자기 자본으로 큰 규모의 사업을 운영할 수 있게 해주는 지렛대 역할을 합니다. 운영 레버리지는 고정 비용을 활용하여 매출 증가에 따른 이익 증가폭을 키우는 전략입니다. 매출이 증가할수록 고정 비용 부담이 줄어들어 이익이 더 크게 증가하는 효과를 얻을 수 있습니다."
렙업	Wrap-up	"Wrap-up은 스타트업 맥락에서 주로 다음과 같은 의미로 사용됩니다.\n1. 회의나 미팅의 마무리: 회의 내용을 요약하고 다음 단계를 정리하는 시간\n2. 프로젝트 종료: 프로젝트 결과를 정리하고 평가하는 단계\n3. 핵심 내용 요약: 회의, 보고서, 발표 등의 핵심 내용을 간략하게 정리\n4. 결론 도출: 논의된 내용을 바탕으로 결론을 내리는 것을 의미합니다."
롱테일의 법칙	Long tail	"롱테일 법칙은 다수의 비인기 상품(80%)의 총 판매량이 소수의 인기 상품(20%)의 총 판매량을 넘어서는 현상을 말합니다. 쉽게 말해, '잘 팔리는 소수'보다 '덜 팔리는 다수'가 더 큰 가치를 창출하는 현상입니다."
린	Lean	"불필요한 낭비를 줄이고 효율성을 극대화하여 빠르게 제품을 출시하고 고객 피드백을 통해 지속적으로 개선해나가는 경영 방식입니다."
마일스톤	Milestone	"스타트업에서 마일스톤은 중요한 목표나 단계를 의미합니다. 마치 등산할 때 정상까지 가는 길에 중요한 지점을 표시해 놓은 이정표와 같다고 볼 수 있습니다. 스타트업은 마일스톤을 설정하고 달성함으로써, 목표를 구체화하고 성과를 측정하며, 동기 부여를 얻고, 투자 유치에도 도움을 받을 수 있습니다."
백로그	Backlog	"스타트업에서 백로그는 개발해야 할 기능이나 개선해야 할 작업 목록을 의미합니다. 즉, 아직 완료되지 않은 해야 할 일 목록이라고 생각하면 쉽습니다. 백로그는 우선순위에 따라 정렬되어 있으며, 개발팀은 백로그를 참고하여 작업 계획을 세우고 진행합니다."
