term	synonyms	meaning
고객 구매 여정	Consumer Decision Journey,CDJ	"고객이 제품/서비스를 인지하고 구매를 결정하기까지 거치는 모든 과정을 말합니다. 고객 구매 여정은 단순히 제품을 구매하는 행위를 넘어, 고객이 브랜드와 상호작용하는 모든 경험을 포함합니다. 마케터는 각 단계별로 고객의 니즈를 파악하고 적절한 마케팅 전략을 수립하여 고객이 최종 구매까지 이어지도록 돕는 역할을 합니다."
고객 페르소나	Customer Persona	"타겟 고객을 대표하는 가상의 인물을 설정하여, 그들의 특징, 행동, 니즈 등을 구체화한 것입니다."
네이티브 광고	Native Advertising	"광고처럼 보이지 않고 콘텐츠처럼 자연스럽게 녹아든 광고 형태를 말합니다. 주변 콘텐츠와 유사한 형식과 디자인으로 제작되어 사용자 경험을 해치지 않으면서 광고 메시지를 전달합니다."
네트워크 광고	Network Advertising	"여러 웹사이트나 앱에 동시에 광고를 노출하는 방식을 말합니다. 광고 네트워크 플랫폼을 통해 다양한 매체에 광고를 게재하여 많은 사람들에게 광고를 노출하고 클릭을 유도합니다."
노출수	Impression	"광고 또는 콘텐츠가 사용자에게 노출된 횟수를 의미합니다. 광고가 사용자의 화면에 나타나거나 로드될 때마다 1회 노출로 계산됩니다. 사용자가 광고를 클릭했는지 여부는 중요하지 않으며, 단순히 광고가 보여진 횟수만을 나타냅니다."
도달률	Reach	"광고 또는 콘텐츠가 최소 한 번 이상 노출된 고유한 사용자 수의 비율을 의미합니다. 노출수와 달리, 동일한 사용자에게 여러 번 노출된 경우에도 한 명으로 계산됩니다. 즉, 광고가 얼마나 다양한 사람들에게 도달했는지를 나타내는 지표입니다."
디스플레이 광고	DA,Display Advertising	"웹사이트, 앱, 소셜 미디어 등 다양한 온라인 채널에 이미지, 텍스트, 동영상 등 시각적인 요소를 활용하여 노출되는 광고 형태입니다. 배너 광고, 네이티브 광고, 동영상 광고 등이 디스플레이 광고에 포함됩니다."
랜딩 페이지	Landing Page	"사용자가 광고, 이메일, 검색 결과 등을 클릭하고 처음 도착하는 웹페이지를 말합니다. 특정 목표(제품 구매, 회원가입, 정보 수집 등)를 달성하도록 유도하는 페이지로, 일반 웹페이지와 달리 불필요한 정보를 제거하고 핵심 메시지와 행동 유도 버튼을 강조하는 것이 특징입니다."
롤링배너 광고	Rolling Banner Advertising	"하나의 광고 영역에 여러 개의 광고가 번갈아 가면서 노출되는 디스플레이 광고 형태입니다. 일정 시간 간격으로 또는 사용자의 특정 행동 (페이지 스크롤, 새로고침 등)에 따라 다른 광고가 나타납니다."
리드	Lead	"잠재 고객으로, 제품이나 서비스에 관심을 보이거나 구매 가능성이 있는 사람을 말합니다. 아직 실제 고객은 아니지만, 마케팅 활동을 통해 잠재 고객을 발굴하고 육성하여 최종적으로 구매 고객으로 전환시키는 것이 목표입니다."
리치미디어 광고	Rich Media Advertising	"기존의 정적인 배너 광고와 달리, 동영상, 오디오, 애니메이션, 인터랙티브 요소 등 다양한 멀티미디어를 활용하여 사용자의 참여를 유도하는 광고 형태입니다. 사용자의 클릭, 마우스 오버, 드래그 등 상호작용을 통해 광고 효과를 극대화하는 것이 특징입니다."
리타게팅 광고	Retargeting Advertising	"웹사이트나 앱에 방문했거나 특정 행동을 한 사용자에게 다시 광고를 노출하는 마케팅 기법입니다. 사용자의 쿠키 정보를 활용하여, 다른 웹사이트나 앱을 방문했을 때 이전에 관심을 보였던 제품/서비스 광고를 다시 보여주는 방식입니다."
리텐션	Retention	"기존 고객이 제품/서비스를 계속해서 이용하는 정도를 나타내는 지표입니다. 고객 유지율이라고도 하며, 고객을 얼마나 오랫동안 유지하고 있는지를 측정하여 마케팅 전략의 효과를 평가하는 데 사용됩니다."
배너 광고	Banner Advertising	"웹사이트나 앱에 이미지 또는 텍스트 형태로 노출되는 디스플레이 광고의 한 종류입니다. 주로 웹페이지 상단, 하단, 측면 등에 위치하며,"
서드파티 데이터	3rd-party data	"데이터를 직접 수집하지 않고, 외부 데이터 제공 업체로부터 구매하거나 협력을 통해 얻는 데이터를 말합니다. 주로 다양한 웹사이트나 앱에서 사용자의 행동 정보, 관심사, 인구통계학적 정보 등을 수집하여 분석하고 가공한 데이터입니다."
세그멘테이션	Segmentation	"전체 시장을 공통된 특징을 가진 더 작은 그룹으로 나누는 과정을 말합니다. 연령, 성별, 지역, 관심사, 소득 수준, 구매 행동 등 다양한 기준을 활용하여 세분화된 고객 그룹을 만들고, 각 그룹에 맞는 맞춤형 마케팅 전략을 수립하는 데 활용됩니다."
세컨드 파티 데이터	Second-party data	" 다른 기업이나 조직이 직접 수집한 퍼스트파티 데이터를 파트너십 또는 제휴를 통해 공유받아 활용하는 데이터를 말합니다. 즉, 자사가 직접 수집한 데이터는 아니지만, 신뢰할 수 있는 파트너로부터 얻은 데이터이기 때문에 높은 품질과 관련성을 기대할 수 있습니다."
시즈널 키워드	Seasonal Keyword	"특정 계절이나 시기에 검색량이 증가하는 키워드를 말합니다. 계절 변화, 공휴일, 기념일, 이벤트 등 특정 시기에 대한 사람들의 관심과 수요를 반영하여 검색량이 급증하는 키워드를 의미합니다."
언드 미디어	Earned Media	"기업이 직접 비용을 지불하지 않고, 자발적인 입소문, 뉴스 기사, 소셜 미디어 공유, 리뷰 등을 통해 얻는 미디어 노출을 말합니다. 즉, 기업의 제품/서비스나 콘텐츠가 훌륭하여 사람들이 자발적으로 공유하고 언급함으로써 얻는 홍보 효과입니다."
오가닉트래픽	Organic Traffic	"검색 엔진 (구글, 네이버 등)에서 검색 결과를 통해 웹사이트나 앱으로 유입되는 방문자를 말합니다. 광고 비용을 지불하지 않고 자연 검색 결과를 통해 유입되는 트래픽이기 때문에 '자연 유입'이라고도 합니다."
온드 미디어	Owned Media	"기업이 소유하고 직접 관리하는 미디어 채널을 말합니다. 웹사이트, 블로그, 소셜 미디어 계정, 이메일 뉴스레터, 모바일 앱 등 기업이 콘텐츠를 제작하고 배포하는 모든 채널이 온드 미디어에 해당합니다."
이탈률	Bounce Rate	"웹사이트나 앱에 방문한 사용자가 단 하나의 페이지만 보고 아무런 상호작용 없이 떠나는 비율을 말합니다. 즉, 다른 페이지로 이동하거나 클릭, 스크롤 등의 행동을 하지 않고 즉시 웹사이트를 떠나는 경우를 의미합니다."
인텐트 마케팅	Intent Marketing	"잠재 고객의 구매 의도를 파악하고, 그 의도에 맞는 정보나 제품/서비스를 제공하는 마케팅 전략입니다. 사용자가 검색하는 키워드, 방문하는 웹사이트, 소셜 미디어 활동 등을 분석하여 잠재 고객의 관심사와 니즈를 파악하고, 적절한 시점에 맞춤형 마케팅 메시지를 전달하는 것을 목표로 합니다."
체류시간	DT,Duration Time	"사용자가 검색 결과를 클릭하여 웹사이트에 방문한 후, 다시 검색 결과 페이지로 돌아가기까지 해당 웹사이트에 머무는 시간을 의미합니다. 즉, 사용자가 웹사이트에서 콘텐츠를 얼마나 오래 소비하는지를 나타내는 지표입니다."
키워드 광고	SA,Search Advertising	"사용자가 검색 엔진에 특정 키워드를 입력했을 때, 검색 결과 페이지에 노출되는 광고입니다. 광고주는 자신이 원하는 키워드를 선택하고 입찰에 참여하여 광고 순위를 결정합니다. 클릭당 비용 (CPC) 방식으로 과금되며, 사용자가 광고를 클릭할 때마다 비용이 발생합니다."
타겟팅	Targeting Advertising,target-marketing,타겟 마케팅	"마케팅 메시지를 특정 고객층에게 집중적으로 전달하는 전략입니다. 불특정 다수에게 광고를 노출하는 대신, 제품/서비스에 관심을 가질 가능성이 높은 잠재 고객을 선별하여 광고 효율을 높이는 것을 목표로 합니다."
퍼널	Funnel	"잠재 고객이 제품/서비스를 인지하고 구매하기까지의 단계를 깔때기 모양으로 시각화한 모델입니다. 넓은 입구로 시작하여 점점 좁아지는 깔때기처럼, 많은 잠재 고객이 유입되어 최종 구매까지 이어지는 과정을 나타냅니다."
퍼스트 파티 데이터	First-party data	"기업이 직접 웹사이트, 앱, CRM 시스템, 설문 조사 등을 통해 수집한 고객 데이터를 말합니다. 즉, 고객이 기업과 직접 상호작용하면서 생성된 데이터로, 고객의 행동, 선호도, 구매 이력 등 다양한 정보를 포함합니다."
페이드 미디어	Paid Media	"기업이 비용을 지불하고 광고를 게재하는 모든 미디어 채널을 말합니다. 검색 광고, 디스플레이 광고, 소셜 미디어 광고, 인플루언서 마케팅, 스폰서십 등 다양한 형태로 존재하며, 즉각적인 노출과 트래픽 증가를 목표로 합니다."
포지셔닝	Positioning	"소비자의 마음속에 제품이나 브랜드를 특정 이미지로 인식시키는 활동입니다. 경쟁 제품과 차별화되는 이미지를 구축하여 소비자에게 매력적인 선택지로 자리 잡는 것을 목표로 합니다."
AARRR	해적 지표	"스타트업의 성장 단계를 5단계로 나누어 각 단계별 핵심 지표를 측정하고 분석하는 프레임워크입니다. 스타트업이 성장하기 위해 필요한 핵심 요소를 파악하고 개선하는 데 도움을 줍니다. Dave McClure라는 투자자가 스타트업들이 '허영 지표'에 빠지는 것을 방지하기 위해 AARRR을 고안했다고 합니다. 각 단계의 앞 글자를 따서 AARRR이라고 부르며, 해적들이 사용하는 용어 같다고 해서 "해적 지표"라고도 불립니다. AARRR의 5단계에는 Acquisition (획득), Activation(활성화), Retention(유지), Referral(추천), Revenue(매출)의 단계로 나뉩니다."
CAC	Customer Acquisition Cost,고객 획득 비용	"새로운 고객 한 명을 얻기 위해 기업이 지출하는 평균 비용을 말합니다. 마케팅 및 영업 활동에 사용된 모든 비용을 특정 기간 동안 확보한 신규 고객 수로 나누어 계산합니다."
CPA	Cost per Action,행동당 비용	"광고를 통해 사용자가 특정 행동 (구매, 회원가입, 앱 설치 등)을 완료했을 때 발생하는 비용을 말합니다. 광고주는 원하는 행동을 정의하고, 해당 행동이 발생할 때마다 비용을 지불합니다. CPA는 광고의 실질적인 성과를 측정하고 평가하는 데 유용한 지표입니다."
CPC	Cost per Click,클릭 단가	"광고가 한 번 클릭될 때마다 광고주가 지불하는 비용을 말합니다. 주로 검색 광고나 디스플레이 광고에서 사용되는 과금 방식으로, 사용자가 광고를 클릭할 때마다 광고 플랫폼에 미리 설정된 금액을 지불하게 됩니다."
CPI	Cost per Install,설치당 비용	"앱 광고를 통해 사용자가 앱을 한 번 설치할 때마다 광고주가 지불하는 비용을 말합니다. 주로 모바일 앱 마케팅에서 사용되는 과금 방식으로, 앱 설치를 목표로 하는 캠페인에서 효과를 측정하는 주요 지표입니다."
CPL	Cost per Lead,리드당 비용	"광고를 통해 잠재 고객 (리드)을 한 명 확보하는 데 드는 평균 비용을 말합니다. 잠재 고객은 제품/서비스에 관심을 보이거나 구매 가능성이 있는 사람으로, 회원가입, 상담 신청, 이벤트 참여 등 다양한 방법으로 확보될 수 있습니다."
CPM	Cost per Mile,1000회 노출당 비용	"광고가 1,000회 노출될 때마다 광고주가 지불하는 비용을 말합니다. 여기서 노출은 광고가 사용자의 화면에 표시되는 것을 의미하며, 사용자가 실제로 광고를 클릭했는지 여부는 중요하지 않습니다. 주로 브랜드 인지도를 높이거나 대규모 캠페인을 진행할 때 사용되는 과금 방식입니다."
CPV	Cost per View,조회당 비용	"동영상 광고가 유효하게 조회될 때마다 광고주가 지불하는 비용을 말합니다. 여기서 유효 조회는 광고가 일정 시간 이상 재생되거나 사용자가 광고와 상호작용하는 경우를 의미합니다. 일반적으로 30초 이상 시청하거나 짧은 동영상의 경우 전체를 시청하는 경우, 또는 클릭 등의 상호작용이 발생하는 경우 유효 조회로 간주됩니다."
CRM	Customer Relationship Management,고객 관계 관리	"기업이 고객과의 관계를 관리하고 향상시키기 위해 사용하는 전략 및 시스템을 말합니다. 고객 데이터를 수집, 분석, 활용하여 고객과의 관계를 강화하고, 궁극적으로 매출 증대와 수익성 향상을 목표로 합니다."
CTA	Call to Action	"사용자가 웹사이트, 앱, 광고 등에서 특정 행동을 하도록 유도하는 버튼, 링크 또는 메시지를 말합니다. "지금 구매하기", "무료 체험 신청", "자세히 알아보기" 등의 문구와 함께 눈에 띄는 디자인으로 제작되어 사용자의 클릭을 유도합니다."
CTR	Click Through Rate,클릭률	"광고 또는 링크가 노출된 횟수 대비 클릭된 횟수의 비율을 말합니다. 즉, 광고를 본 사람 중 몇 명이 실제로 광고를 클릭했는지를 나타내는 지표입니다. 클릭률은 퍼센트 (%)로 표시되며, 광고 효과를 측정하고 평가하는 데 중요한 역할을 합니다."
CVR	Conversion Rate,전환율	"웹사이트나 앱, 광고 등에 방문한 사용자 중에서 특정 목표 행동을 완료한 비율을 말합니다. 목표 행동은 기업이 설정한 마케팅 목표에 따라 달라질 수 있으며, 일반적으로 구매, 회원가입, 상담 신청, 앱 설치 등이 해당됩니다. 전환율은 마케팅 캠페인의 효과를 측정하고 평가하는 핵심 지표입니다."
DAU	Daily Active Users,일일 활성 사용자	"하루 동안 웹사이트, 앱, 또는 플랫폼에 접속하여 활동한 순 사용자 수를 의미합니다. 일반적으로 24시간 동안 특정 행동 (로그인, 콘텐츠 조회, 구매 등)을 한 사용자를 집계하여 측정합니다. 즉, 앱이나 웹 서비스가 얼마나 활발하게 이용되고 있는지를 나타내는 지표입니다."
KPI	Key Perfomance Indicator,핵심 성과 지표	"기업이나 조직의 목표 달성 정도를 측정하는 데 사용되는 핵심적인 지표입니다. 즉, 기업이나 부서의 성과를 평가하고, 전략의 효과를 측정하며, 개선이 필요한 부분을 파악하는 데 도움을 주는 핵심적인 측정 기준입니다."
LTV	Life Time Value,고객 생애 가치	"고객이 특정 기업의 제품이나 서비스를 이용하는 전체 기간 동안 기업에게 가져다줄 것으로 예상되는 총 수익을 말합니다. 즉, 고객 한 명의 가치를 나타내는 지표로, 고객 획득 비용 (CAC)과 함께 마케팅 전략의 효율성을 평가하는 데 중요한 역할을 합니다."
MAU	Monthly Active User,월간 활성 사용자	"한 달 동안 웹사이트, 앱, 또는 플랫폼에 접속하여 활동한 순 사용자 수를 의미합니다. 일반적으로 30일 동안 특정 행동 (로그인, 콘텐츠 조회, 구매 등)을 한 사용자를 집계하여 측정합니다. 즉, 앱이나 웹 서비스가 한 달 동안 얼마나 활발하게 이용되고 있는지를 나타내는 지표입니다."
MQL	Marketing Qualified Lead,마케팅 적격 리드	"마케팅 활동을 통해 잠재 고객 (리드) 중에서 제품이나 서비스에 대한 관심과 구매 의향을 보인 사람들을 말합니다. 일반적인 리드보다 구매 가능성이 높다고 판단되어 영업 부서에 넘겨져 추가적인 관리를 받는 단계에 있는 잠재 고객입니다."
MRR	Money Recurring Revenue,월간 반복 매출	"구독 기반 비즈니스 모델을 운영하는 기업이 매달 반복적으로 얻는 수익을 의미합니다. 월간 구독료, 추가 서비스 이용료 등 매달 정기적으로 발생하는 수익을 합산하여 계산하며, 일회성 수익은 제외됩니다."
OKR	Objective Key Results	"기업, 팀 또는 개인이 설정한 목표(Objective)와 그 목표를 달성하기 위한 구체적인 핵심 결과(Key Results)를 의미합니다. OKR은 목표를 명확하게 설정하고, 측정 가능한 결과를 통해 진행 상황을 추적하며, 목표 달성을 위한 집중과 동기를 부여하는 데 도움을 주는 목표 관리 프레임워크입니다."
PV	Page View,페이지 뷰	"웹사이트 또는 앱의 특정 페이지가 조회된 횟수를 의미합니다. 사용자가 웹사이트나 앱 내에서 페이지를 이동할 때마다 PV가 1씩 증가합니다. 같은 사용자가 같은 페이지를 여러 번 조회하더라도 PV는 계속 증가하며, 중복 조회도 포함하여 계산됩니다."
ROAS	Return on Advertising Spend,로아스,광고 투자 수익률	"고에 투자한 비용 대비 얻은 수익을 나타내는 지표입니다. 즉, 광고를 통해 얼마나 많은 매출을 올렸는지를 보여주는 성과 측정 지표입니다. ROAS는 퍼센트 (%) 또는 배수로 표시되며, 광고 캠페인의 효율성을 평가하고 최적화하는 데 사용됩니다."
ROI	Return On Investment,투자 수익률	"투자한 비용 대비 얻은 수익을 나타내는 지표입니다. 즉, 특정 마케팅 활동이나 사업에 투자한 비용 대비 얼마나 많은 이익을 얻었는지를 평가하는 데 사용되는 지표입니다. ROI는 퍼센트 (%) 또는 배수로 표시되며, 투자 효율성을 분석하고 개선하는 데 도움을 줍니다."
